pair,entry,exit,r,pct,bars_held,regime,fold,exit_reason,took_partial
BTC-USDT,2021-09-19,2021-09-21,-3.334,-0.1119,2,bull,,stop,0
TRX-USDT,2021-10-14,2021-10-24,0.380,0.0251,10,bull,,time,0
ATOM-USDT,2021-11-09,2021-11-11,-1.914,-0.1280,2,bull,,stop,0
DOGE-USDT,2021-11-15,2021-11-17,-1.869,-0.1013,2,bull,,stop,0
TRX-USDT,2023-02-27,2023-03-04,-0.933,-0.0372,5,bull,2023-H1,regime,0
BTC-USDT,2023-03-02,2023-03-04,-2.204,-0.0566,2,bull,2023-H1,stop,0
LTC-USDT,2023-03-02,2023-03-04,-1.412,-0.0773,2,bull,2023-H1,stop,0
LTC-USDT,2023-03-30,2023-04-09,-0.309,-0.0193,10,bull,2023-H1,time,0
ETH-USDT,2023-07-11,2023-07-21,1.012,0.0297,10,bull,2023-H2,time,1
LINK-USDT,2023-10-16,2023-10-26,6.707,0.2836,10,bear,2023-H2,time,1
FIL-USDT,2023-12-02,2023-12-12,1.196,0.0467,10,bull,2023-H2,time,1
XRP-USDT,2023-12-02,2023-12-12,1.070,0.0297,10,bull,2023-H2,time,1
SHIB-USDT,2024-01-02,2024-01-04,-2.607,-0.1084,2,bull,2024-H1,stop,0
ETH-USDT,2024-01-09,2024-01-15,1.514,0.0820,6,bull,2024-H1,regime,1
GRT-USDT,2024-01-17,2024-01-18,-0.267,-0.0140,1,bull,2024-H1,regime,0
AVAX-USDT,2024-02-08,2024-02-18,2.335,0.1048,10,bull,2024-H1,time,1
LINK-USDT,2024-02-25,2024-03-06,1.176,0.0600,10,bull,2024-H1,time,1
CRV-USDT,2024-03-25,2024-04-03,-1.737,-0.1126,9,bull,2024-H1,stop,0
GRT-USDT,2024-03-25,2024-04-03,-1.824,-0.1455,9,bull,2024-H1,stop,0
BTC-USDT,2024-03-25,2024-04-04,-0.283,-0.0211,10,bull,2024-H1,time,0
ETH-USDT,2024-03-25,2024-04-04,-0.738,-0.0443,10,bull,2024-H1,time,0
LTC-USDT,2024-04-12,2024-04-13,-2.446,-0.1320,1,bull,2024-H1,stop,0
AAVE-USDT,2024-06-06,2024-06-08,-1.541,-0.0703,2,bull,2024-H1,stop,0
XRP-USDT,2024-09-29,2024-10-03,-1.953,-0.1260,4,range,2024-H2,stop,0
TRX-USDT,2024-10-08,2024-10-10,1.676,0.0302,2,bear,2024-H2,regime,1
TRX-USDT,2024-10-22,2024-11-01,2.880,0.0442,10,range,2024-H2,time,1
BTC-USDT,2024-12-25,2024-12-28,-0.750,-0.0467,3,bull,2024-H2,regime,0
TRX-USDT,2025-04-27,2025-05-07,-0.581,-0.0271,10,range,2025-H1,time,0
XRP-USDT,2025-05-23,2025-05-29,-1.107,-0.0674,6,bull,2025-H1,stop,0
SUI-USDT,2025-05-28,2025-05-31,-2.125,-0.1357,3,bull,2025-H1,stop,0
BCH-USDT,2025-06-01,2025-06-06,-1.512,-0.0761,5,bull,2025-H1,stop,0
AAVE-USDT,2025-06-08,2025-06-18,1.205,0.0830,10,bull,2025-H1,time,1
BTC-USDT,2025-06-08,2025-06-18,-0.245,-0.0120,10,bull,2025-H1,time,0
