pair,entry,exit,r,pct,bars_held,regime,fold,exit_reason,took_partial
ADA-USDT,2021-04-06,2021-04-16,3.104,0.1573,10,warmup,,time,1
XRP-USDT,2021-09-01,2021-09-10,0.416,0.0319,9,range,,stop,1
FIL-USDT,2021-09-01,2021-09-11,1.574,0.1043,10,range,,time,1
AAVE-USDT,2021-09-06,2021-09-08,-2.488,-0.1713,2,range,,stop,0
BTC-USDT,2021-09-19,2021-09-21,-3.334,-0.1119,2,bull,,stop,0
TRX-USDT,2021-10-14,2021-10-24,0.380,0.0251,10,bull,,time,0
AVAX-USDT,2021-10-20,2021-10-30,2.060,0.1319,10,bull,,time,1
ALGO-USDT,2021-10-21,2021-10-31,1.074,0.0630,10,bull,,time,1
LTC-USDT,2021-11-08,2021-11-18,2.175,0.1190,10,bull,,time,1
ATOM-USDT,2021-11-09,2021-11-11,-1.914,-0.1280,2,bull,,stop,0
XLM-USDT,2021-11-09,2021-11-17,0.322,0.0239,8,bull,,stop,1
DOGE-USDT,2021-11-15,2021-11-17,-1.869,-0.1013,2,bull,,stop,0
DOGE-USDT,2022-04-20,2022-04-25,-1.127,-0.0786,5,bear,2022-H1,stop,0
TRX-USDT,2022-06-06,2022-06-12,-1.059,-0.0680,6,bear,2022-H1,stop,0
SAND-USDT,2022-08-09,2022-08-17,-1.367,-0.0617,8,bear,2022-H2,stop,0
XRP-USDT,2022-08-18,2022-08-20,-3.369,-0.1217,2,bear,2022-H2,stop,0
XLM-USDT,2022-10-08,2022-10-14,-1.584,-0.0876,6,bear,2022-H2,stop,0
AAVE-USDT,2023-02-08,2023-02-10,-1.992,-0.1270,2,bull,2023-H1,stop,0
ETC-USDT,2023-02-08,2023-02-10,-1.829,-0.1028,2,bull,2023-H1,stop,0
SOL-USDT,2023-02-08,2023-02-10,-2.546,-0.1431,2,bull,2023-H1,stop,0
UNI-USDT,2023-02-08,2023-02-10,-1.724,-0.0981,2,bull,2023-H1,stop,0
XLM-USDT,2023-02-08,2023-02-10,-2.037,-0.0744,2,bull,2023-H1,stop,0
XRP-USDT,2023-02-08,2023-02-10,-1.819,-0.0569,2,bull,2023-H1,stop,0
AVAX-USDT,2023-02-15,2023-02-25,1.052,0.0760,10,bull,2023-H1,time,1
NEAR-USDT,2023-02-27,2023-03-04,-1.546,-0.1203,5,bull,2023-H1,stop,0
SHIB-USDT,2023-02-27,2023-03-04,-1.745,-0.1182,5,bull,2023-H1,stop,0
TRX-USDT,2023-02-27,2023-03-05,-1.088,-0.0434,6,bull,2023-H1,stop,0
LINK-USDT,2023-03-02,2023-03-04,-1.334,-0.0798,2,bull,2023-H1,stop,0
LTC-USDT,2023-03-02,2023-03-04,-1.412,-0.0773,2,bull,2023-H1,stop,0
LINK-USDT,2023-03-27,2023-03-28,-1.419,-0.0565,1,bull,2023-H1,stop,0
LTC-USDT,2023-03-30,2023-04-09,-0.309,-0.0193,10,bull,2023-H1,time,0
TRX-USDT,2023-04-10,2023-04-13,-1.598,-0.0252,3,bull,2023-H1,stop,0
AAVE-USDT,2023-04-11,2023-04-20,-1.305,-0.0619,9,bull,2023-H1,stop,0
AVAX-USDT,2023-04-11,2023-04-21,1.186,0.0463,10,bull,2023-H1,time,1
DOGE-USDT,2023-04-14,2023-04-22,-1.309,-0.1042,8,bull,2023-H1,stop,0
ETH-USDT,2023-07-11,2023-07-21,1.012,0.0297,10,bull,2023-H2,time,1
AAVE-USDT,2023-07-12,2023-07-22,1.045,0.0645,10,bull,2023-H2,time,1
AAVE-USDT,2023-07-27,2023-08-01,-1.744,-0.0959,5,bull,2023-H2,stop,0
BCH-USDT,2023-07-27,2023-08-03,-1.395,-0.0576,7,bull,2023-H2,stop,0
DOGE-USDT,2023-08-06,2023-08-16,-1.527,-0.0662,10,bull,2023-H2,stop,0
XLM-USDT,2023-08-07,2023-08-16,-1.621,-0.0696,9,bull,2023-H2,stop,0
LINK-USDT,2023-08-08,2023-08-17,-1.843,-0.0800,9,bull,2023-H2,stop,0
UNI-USDT,2023-08-09,2023-08-17,-1.799,-0.1059,8,bull,2023-H2,stop,0
TRX-USDT,2023-09-13,2023-09-23,0.625,0.0290,10,bear,2023-H2,time,0
LINK-USDT,2023-10-16,2023-10-26,6.707,0.2836,10,bear,2023-H2,time,1
CRV-USDT,2023-11-20,2023-11-22,-1.475,-0.0993,2,bull,2023-H2,stop,0
MANA-USDT,2023-11-20,2023-11-22,-1.633,-0.1301,2,bull,2023-H2,stop,0
DOT-USDT,2023-12-01,2023-12-11,3.128,0.2474,10,bull,2023-H2,time,1
ARB-USDT,2023-12-02,2023-12-12,1.526,0.0740,10,bull,2023-H2,time,1
CRV-USDT,2023-12-02,2023-12-12,2.385,0.1185,10,bull,2023-H2,time,1
ETC-USDT,2023-12-02,2023-12-12,1.666,0.0694,10,bull,2023-H2,time,1
FIL-USDT,2023-12-02,2023-12-12,1.196,0.0467,10,bull,2023-H2,time,1
SAND-USDT,2023-12-02,2023-12-12,2.979,0.1738,10,bull,2023-H2,time,1
ATOM-USDT,2024-01-02,2024-01-04,-1.525,-0.1179,2,bull,2024-H1,stop,0
DOGE-USDT,2024-01-02,2024-01-04,-2.559,-0.1120,2,bull,2024-H1,stop,0
