pair,entry,exit,r,pct,bars_held,regime,fold,exit_reason
BTC-USDT,2021-07-27,2021-08-15,2.368,0.2613,19,bear,,signal
SOL-USDT,2021-07-31,2021-08-08,1.173,0.2155,8,bear,,signal
DOGE-USDT,2022-02-08,2022-02-11,-1.020,-0.1439,3,bear,2022-H1,stop
ATOM-USDT,2022-03-01,2022-03-05,-0.163,-0.0322,4,bear,2022-H1,regime
MANA-USDT,2022-03-25,2022-03-29,-0.090,-0.0115,4,bear,2022-H1,signal
AVAX-USDT,2022-04-01,2022-04-06,-1.019,-0.1493,5,bear,2022-H1,stop
NEAR-USDT,2022-09-13,2022-09-14,-0.977,-0.1363,1,bear,2022-H2,regime
UNI-USDT,2022-10-28,2022-11-08,-0.150,-0.0185,11,bear,2022-H2,stop
ATOM-USDT,2022-10-29,2022-11-08,-0.332,-0.0413,10,bear,2022-H2,stop
LINK-USDT,2022-10-30,2022-11-08,-0.721,-0.0760,9,bear,2022-H2,stop
ALGO-USDT,2022-10-31,2022-11-08,-0.768,-0.0765,8,bear,2022-H2,stop
XRP-USDT,2022-11-05,2022-11-08,-1.028,-0.1048,3,bear,2022-H2,stop
OP-USDT,2023-01-07,2023-02-13,7.343,0.8507,37,bear,2023-H1,stop
GRT-USDT,2023-01-09,2023-02-25,8.162,0.8733,47,bear,2023-H1,stop
BCH-USDT,2023-01-10,2023-01-16,2.744,0.1705,6,bear,2023-H1,signal
LTC-USDT,2023-01-10,2023-01-22,0.801,0.0723,12,bear,2023-H1,signal
CRV-USDT,2023-02-09,2023-02-09,-1.028,-0.1683,0,bull,2023-H1,stop
BTC-USDT,2023-03-15,2023-04-20,1.470,0.1387,36,bull,2023-H1,stop
XLM-USDT,2023-03-30,2023-04-14,0.308,0.0322,15,bull,2023-H1,time
ETH-USDT,2023-04-15,2023-04-19,-1.034,-0.0783,4,bull,2023-H1,stop
LINK-USDT,2023-04-18,2023-04-21,-1.041,-0.0944,3,bull,2023-H1,stop
BTC-USDT,2023-06-21,2023-07-17,0.704,0.0469,26,bull,2023-H1,stop
AAVE-USDT,2023-07-15,2023-07-24,-1.024,-0.1443,9,bull,2023-H2,stop
UNI-USDT,2023-08-02,2023-08-03,-0.947,-0.0832,1,bull,2023-H2,regime
AAVE-USDT,2023-09-29,2023-10-09,-0.479,-0.0449,10,bear,2023-H2,stop
BCH-USDT,2023-09-29,2023-10-09,-1.040,-0.1034,10,bear,2023-H2,stop
LINK-USDT,2023-09-29,2023-10-14,-0.789,-0.0731,15,bear,2023-H2,time
TRX-USDT,2023-10-04,2023-10-06,-1.067,-0.0466,2,bear,2023-H2,stop
SOL-USDT,2023-10-17,2024-01-03,21.362,2.1320,78,range,2023-H2,stop
BCH-USDT,2023-10-24,2023-10-27,-1.036,-0.1068,3,range,2023-H2,stop
NEAR-USDT,2023-11-17,2023-12-02,0.573,0.0957,15,bull,2023-H2,time
GRT-USDT,2023-12-07,2023-12-22,0.055,0.0076,15,bull,2023-H2,time
LINK-USDT,2023-12-09,2023-12-11,-1.021,-0.1334,2,bull,2023-H2,stop
NEAR-USDT,2024-02-13,2024-02-20,0.312,0.0400,7,bull,2024-H1,signal
ETH-USDT,2024-02-27,2024-03-16,1.903,0.1370,18,bull,2024-H1,stop
BTC-USDT,2024-02-28,2024-03-08,2.834,0.1725,9,bull,2024-H1,signal
NEAR-USDT,2024-05-16,2024-05-31,-0.612,-0.0993,15,bull,2024-H1,time
BCH-USDT,2024-05-21,2024-05-29,-0.787,-0.0951,8,bull,2024-H1,signal
ETC-USDT,2024-05-24,2024-06-04,-1.026,-0.1339,11,bull,2024-H1,stop
UNI-USDT,2024-06-16,2024-06-18,-1.021,-0.1730,2,bull,2024-H1,stop
XRP-USDT,2024-07-16,2024-08-01,0.756,0.0742,16,bull,2024-H2,stop
CRV-USDT,2024-09-21,2024-10-01,-0.725,-0.0997,10,bear,2024-H2,signal
APT-USDT,2024-10-04,2024-10-10,-0.029,-0.0042,6,bear,2024-H2,regime
TRX-USDT,2024-10-04,2024-10-10,0.415,0.0151,6,bear,2024-H2,regime
SHIB-USDT,2024-10-30,2024-11-03,-1.032,-0.1326,4,bull,2024-H2,stop
SHIB-USDT,2024-11-07,2024-11-26,2.462,0.3263,19,bull,2024-H2,signal
SOL-USDT,2024-11-07,2024-11-30,2.864,0.3065,23,bull,2024-H2,signal
APT-USDT,2024-11-11,2024-11-26,0.101,0.0146,15,bull,2024-H2,stop
XLM-USDT,2025-01-04,2025-01-08,-0.358,-0.0718,4,bull,2025-H1,regime
SAND-USDT,2025-01-07,2025-01-08,-0.629,-0.1210,1,bull,2025-H1,regime
MANA-USDT,2025-04-22,2025-05-07,-0.277,-0.0402,15,bear,2025-H1,time
BCH-USDT,2025-04-26,2025-05-10,0.876,0.1046,14,range,2025-H1,signal
BTC-USDT,2025-05-09,2025-05-11,0.216,0.0124,2,range,2025-H1,signal
SOL-USDT,2025-05-09,2025-05-19,-0.245,-0.0234,10,range,2025-H1,stop
ETH-USDT,2025-06-11,2025-06-13,-1.025,-0.1019,2,bull,2025-H1,stop
BCH-USDT,2025-06-16,2025-06-21,0.233,0.0250,5,bull,2025-H1,regime
