pair,entry,exit,r,pct,bars_held,regime,fold,exit_reason
BTC-USDT,2021-07-27,2021-08-16,2.344,0.2586,20,bear,,signal
SOL-USDT,2021-07-31,2021-08-08,1.173,0.2155,8,bear,,signal
EGLD-USDT,2021-10-23,2021-10-27,-1.027,-0.1552,4,bull,,stop
DOGE-USDT,2022-02-08,2022-02-11,-1.020,-0.1439,3,bear,2022-H1,stop
ATOM-USDT,2022-03-01,2022-03-05,-0.163,-0.0322,4,bear,2022-H1,regime
AVAX-USDT,2022-04-01,2022-04-06,-1.019,-0.1493,5,bear,2022-H1,stop
THETA-USDT,2022-07-30,2022-08-02,0.292,0.0425,3,bear,2022-H2,signal
NEAR-USDT,2022-09-13,2022-09-14,-0.977,-0.1363,1,bear,2022-H2,regime
UNI-USDT,2022-10-28,2022-11-08,-0.150,-0.0185,11,bear,2022-H2,stop
ATOM-USDT,2022-10-29,2022-11-08,-0.332,-0.0413,10,bear,2022-H2,stop
LINK-USDT,2022-10-30,2022-11-08,-0.721,-0.0760,9,bear,2022-H2,stop
ALGO-USDT,2022-10-31,2022-11-08,-0.768,-0.0765,8,bear,2022-H2,stop
XRP-USDT,2022-11-05,2022-11-08,-1.028,-0.1048,3,bear,2022-H2,stop
APE-USDT,2023-01-05,2023-02-09,3.579,0.3795,35,bear,2023-H1,signal
LTC-USDT,2023-01-10,2023-01-22,0.801,0.0723,12,bear,2023-H1,signal
OKB-USDT,2023-02-17,2023-03-04,0.330,0.0429,15,bull,2023-H1,regime
ETH-USDT,2023-04-15,2023-04-19,-1.034,-0.0783,4,bull,2023-H1,stop
LINK-USDT,2023-04-18,2023-04-21,-1.041,-0.0944,3,bull,2023-H1,stop
BTC-USDT,2023-06-21,2023-07-17,0.704,0.0469,26,bull,2023-H1,stop
AAVE-USDT,2023-07-15,2023-07-24,-1.024,-0.1443,9,bull,2023-H2,stop
UNI-USDT,2023-08-02,2023-08-03,-0.947,-0.0832,1,bull,2023-H2,regime
AAVE-USDT,2023-09-29,2023-10-04,-0.143,-0.0134,5,bear,2023-H2,signal
BCH-USDT,2023-09-29,2023-10-09,-1.040,-0.1034,10,bear,2023-H2,stop
LINK-USDT,2023-09-29,2023-10-14,-0.789,-0.0731,15,bear,2023-H2,time
DYDX-USDT,2023-10-03,2023-10-10,-1.053,-0.0861,7,bear,2023-H2,stop
TRX-USDT,2023-10-04,2023-10-06,-1.067,-0.0466,2,bear,2023-H2,stop
BTC-USDT,2023-10-17,2023-11-12,4.512,0.2555,26,range,2023-H2,signal
SOL-USDT,2023-10-17,2024-01-03,21.362,2.1320,78,range,2023-H2,stop
OKB-USDT,2023-10-18,2023-10-18,-1.094,-0.0454,0,range,2023-H2,stop
BCH-USDT,2023-10-24,2023-10-27,-1.036,-0.1068,3,range,2023-H2,stop
WLD-USDT,2023-10-25,2023-11-09,0.052,0.0092,15,range,2023-H2,stop
ICP-USDT,2024-02-20,2024-02-21,-1.028,-0.1375,1,bull,2024-H1,stop
CHZ-USDT,2024-02-23,2024-03-05,-0.349,-0.0449,11,bull,2024-H1,stop
NEAR-USDT,2024-05-16,2024-05-31,-0.612,-0.0993,15,bull,2024-H1,time
BCH-USDT,2024-05-21,2024-05-29,-0.787,-0.0951,8,bull,2024-H1,signal
ETC-USDT,2024-05-24,2024-06-04,-1.026,-0.1339,11,bull,2024-H1,stop
UNI-USDT,2024-06-16,2024-06-18,-1.021,-0.1730,2,bull,2024-H1,stop
CRV-USDT,2024-09-21,2024-10-01,-0.725,-0.0997,10,bear,2024-H2,signal
APT-USDT,2024-10-04,2024-10-10,-0.029,-0.0042,6,bear,2024-H2,regime
SHIB-USDT,2024-11-07,2024-11-26,2.462,0.3263,19,bull,2024-H2,signal
APT-USDT,2024-11-11,2024-11-25,0.990,0.1430,14,bull,2024-H2,signal
WIF-USDT,2024-11-11,2024-11-26,1.531,0.2948,15,bull,2024-H2,signal
XLM-USDT,2025-01-04,2025-01-08,-0.358,-0.0718,4,bull,2025-H1,regime
SAND-USDT,2025-01-07,2025-01-08,-0.629,-0.1210,1,bull,2025-H1,regime
HBAR-USDT,2025-01-16,2025-01-27,-0.196,-0.0356,11,bull,2025-H1,stop
BCH-USDT,2025-04-26,2025-05-12,0.755,0.0902,16,range,2025-H1,signal
ETH-USDT,2025-06-11,2025-06-13,-1.025,-0.1019,2,bull,2025-H1,stop
BCH-USDT,2025-06-20,2025-06-21,-0.475,-0.0510,1,bull,2025-H1,regime
