date,symbol,rank,score_quote_vol,in_universe
2021-04-01,BTC-USDT,1,69499436970,1
2021-04-01,ETH-USDT,2,26516674926,1
2021-04-01,DOGE-USDT,3,16623161064,1
2021-04-01,DOT-USDT,4,15330750552,1
2021-04-01,OKB-USDT,5,15059669179,1
2021-04-01,BCH-USDT,6,14645917246,1
2021-04-01,LTC-USDT,7,12125940984,1
2021-04-01,UNI-USDT,8,11134458254,1
2021-04-01,XLM-USDT,9,8895876982,1
2021-04-01,LINK-USDT,10,8738339934,1
2021-04-01,FIL-USDT,11,7247994814,1
2021-04-01,AAVE-USDT,12,6231524842,1
2021-04-01,XRP-USDT,13,5946104053,1
2021-04-01,THETA-USDT,14,5939031784,1
2021-04-01,GRT-USDT,15,5318757931,1
2021-04-01,ATOM-USDT,16,4455766142,1
2021-04-01,AVAX-USDT,17,4390316498,1
2021-04-01,ETC-USDT,18,4057700071,1
2021-04-01,CRV-USDT,19,4027980814,1
2021-04-01,EGLD-USDT,20,3944355133,1
2021-04-01,NEO-USDT,21,3489846043,1
2021-04-01,ALGO-USDT,22,3344296183,1
2021-04-01,MANA-USDT,23,3078441085,1
2021-04-01,SOL-USDT,24,2675998692,1
2021-04-01,XTZ-USDT,25,2636166780,1
2021-04-01,IOTA-USDT,26,2559901390,1
2021-04-01,KSM-USDT,27,2519803333,1
2021-04-01,TRX-USDT,28,2499102125,1
2021-04-01,HBAR-USDT,29,2405165699,1
2021-04-01,ZIL-USDT,30,2255387436,1
2021-04-01,QTUM-USDT,31,1915659620,0
2021-04-01,SNX-USDT,32,1884013968,0
2021-04-01,NEAR-USDT,33,1704308538,0
2021-04-01,ADA-USDT,34,1504159828,0
2021-04-01,COMP-USDT,35,1235383699,0
2021-04-02,BTC-USDT,1,69476055307,1
2021-04-02,ETH-USDT,2,26645891400,1
2021-04-02,DOGE-USDT,3,16443592289,1
2021-04-02,DOT-USDT,4,15302952060,1
2021-04-02,OKB-USDT,5,14997996897,1
2021-04-02,BCH-USDT,6,14656432103,1
2021-04-02,LTC-USDT,7,12083172223,1
2021-04-02,UNI-USDT,8,11133368837,1
2021-04-02,XLM-USDT,9,9005009485,1
